HugoSymbol	grch38RefSeq	grch38Isoform
CSDE1	NM_001242891.1	ENST00000438362
CSF1R	NM_005211.3	ENST00000286301
CSF3R		ENST00000373106
CTC1	NM_025099.6	ENST00000651323
CTCF	NM_006565.3	ENST00000264010
CTDNEP1	NM_001143775.2	ENST00000574322
CTLA4	NM_005214.4	ENST00000648405
CTNNA1	NM_001903	ENST00000302763
CTNNB1	NM_001904.3	ENST00000349496
CTR9	NM_014633.4	ENST00000361367
CUL3	NM_003590.4	ENST00000264414
CUL4A	NM_001008895	ENST00000375440
CUX1	NM_181552.3	ENST00000292535
CXCR4	NM_003467.2	ENST00000241393
CYLD	NM_001042355.1	ENST00000398568
CYP19A1	NM_000103.4	ENST00000396402
CYSLTR2	NM_020377.2	ENST00000282018
D2HGDH	NM_152783.5	ENST00000321264
DAXX	NM_001141970.1	ENST00000266000
DAZAP1	NM_018959.3	ENST00000233078
DCUN1D1	NM_020640.2	ENST00000292782
DDB2	NM_000107	ENST00000256996
DDIT3	NM_001195057.1	ENST00000346473
DDR2	NM_006182.2	ENST00000367921
DDX3X	NM_001356.4	ENST00000478993
DDX4	NM_024415.2	ENST00000505374
DDX41	NM_016222.4	ENST00000330503
DDX5	NM_004396	ENST00000225792
DEK	NM_003472.4	ENST00000652689
DHX15	NM_001358.3	ENST00000336812
DICER1	NM_177438.2	ENST00000393063
DIS3	NM_014953.3	ENST00000377767
DIS3L2	NM_152383.5	ENST00000325385
DKK1	NM_012242.2	ENST00000373970
DKK2	NM_014421.2	ENST00000285311
DKK3	NM_001018057.1	ENST00000326932
DKK4	NM_014420.2	ENST00000220812
DLL3		ENST00000205143
DNAJB1	NM_006145.1	ENST00000254322
DNM2	NM_001005360	ENST00000355667
DNMT1	NM_001379.2	ENST00000340748
DNMT3A	NM_022552.4	ENST00000264709
DNMT3B	NM_006892.3	ENST00000328111
DOT1L	NM_032482.2	ENST00000398665
DPYD	NM_000110	ENST00000370192
DROSHA	NM_013235.4	ENST00000344624
DTX1	NM_004416.2	ENST00000257600
DUSP22	NM_020185.4	ENST00000344450
DUSP4	NM_001394.6	ENST00000240100
E2F3	NM_001949.4	ENST00000346618
EBF1	NM_024007	ENST00000313708
ECSIT	NM_016581	ENST00000270517
ECT2L	NM_001077706.2	ENST00000367682
EED	NM_003797.3	ENST00000263360
EGFL7	NM_201446.2	ENST00000308874
EGFR	NM_005228.3	ENST00000275493
EGR1	NM_001964.2	ENST00000239938
EGR2	NM_000399.5	ENST00000242480
EIF1AX	NM_001412.3	ENST00000379607
EIF2B1	NM_001414	ENST00000424014
EIF3E	NM_001568	ENST00000220849
EIF4A2	NM_001967.3	ENST00000323963
EIF4E	NM_001130678.1	ENST00000280892
ELF3	NM_004433.4	ENST00000359651
ELF4	NM_001127197	ENST00000308167
ELK4	NM_001973	ENST00000357992
ELL	NM_006532	ENST00000262809
ELL2	NM_012081.6	ENST00000237853
ELN	NM_000501	ENST00000252034
ELOC	NM_005648.3	ENST00000284811
EML4	NM_019063.5	ENST00000318522
EMSY	NM_020193	ENST00000334736
EP300	NM_001429.3	ENST00000263253
EP400	NM_015409.3	ENST00000389561
EPAS1	NM_001430.4	ENST00000263734
EPCAM	NM_002354.2	ENST00000263735
EPHA3	NM_005233.5	ENST00000336596
EPHA5	NM_004439.5	ENST00000273854
EPHA7	NM_004440.3	ENST00000369303
EPHB1	NM_004441.4	ENST00000398015
EPHB4	NM_004444	ENST00000358173
EPOR	NM_000121.3	ENST00000222139
ERBB2	NM_004448.2	ENST00000269571
ERBB3	NM_001982.3	ENST00000267101
ERBB4	NM_005235.2	ENST00000342788
ERC1	NM_178040	ENST00000360905
ERCC1	NM_001983	ENST00000300853
ERCC2	NM_000400.3	ENST00000391945
ERCC3	NM_000122.1	ENST00000285398
ERCC4	NM_005236.2	ENST00000311895
ERCC5	NM_000123.4	ENST00000652225
ERCC6	NM_000124.4	ENST00000355832
ERF	NM_006494.2	ENST00000222329
ERG	NM_182918.3	ENST00000288319
ERRFI1	NM_018948.3	ENST00000377482
ESCO1	NM_052911.3	ENST00000269214
ESCO2	NM_001017420.2	ENST00000305188
ESR1	NM_001122740.1	ENST00000206249
ETAA1	NM_019002.3	ENST00000272342
ETNK1	NM_018638.4	ENST00000671733
ETS1	NM_005238	ENST00000319397
ETV1	NM_001163147.1	ENST00000405192
ETV4	NM_001079675.2	ENST00000319349
ETV5	NM_004454.2	ENST00000306376
ETV6	NM_001987.4	ENST00000396373
EWSR1	NM_005243.3	ENST00000397938
EXT1	NM_000127	ENST00000378204
EZH1	NM_001991.3	ENST00000428826
EZH2	NM_004456.4	ENST00000320356
EZHIP	NM_203407.3	ENST00000342995
FANCA	NM_000135.2	ENST00000389301
FANCB	NM_001018113.3	ENST00000650831
FANCC	NM_000136.2	ENST00000289081
FANCD2	NM_001018115.1	ENST00000675286
FANCE	NM_021922	ENST00000229769
FANCF	NM_022725	ENST00000327470
FANCG	NM_004629	ENST00000378643
FANCI	NM_001113378.2	ENST00000310775
FANCL	NM_018062.3	ENST00000233741
FANCM	NM_020937	ENST00000267430
FAS	NM_000043.6	ENST00000652046
FAT1	NM_005245.3	ENST00000441802
FBXO11	NM_001190274.1	ENST00000403359
FBXW2	NM_012164	ENST00000608872
FBXW7	NM_033632.3	ENST00000281708
FCGR2B	NM_001394477.1	ENST00000358671
FES	NM_002005	ENST00000328850
FEV	NM_017521.2	ENST00000295727
FGF1	NM_000800	ENST00000337706
FGF10	NM_004465	ENST00000264664
FGF14	NM_004115	ENST00000376143
FGF19	NM_005117.2	ENST00000294312
FGF2	NM_001361665.2	ENST00000644866
FGF23	NM_020638	ENST00000237837
FGF3	NM_005247.2	ENST00000334134
FGF4	NM_002007.2	ENST00000168712
FGF5	NM_004464	ENST00000312465
FGF6	NM_020996	ENST00000228837
FGF7	NM_002009	ENST00000267843
FGF8	NM_033164	ENST00000344255
FGF9	NM_002010	ENST00000382353
FGFR1	NM_001174067.1	ENST00000425967
FGFR2	NM_000141.4	ENST00000358487
FGFR3	NM_000142.5	ENST00000440486
FGFR4	NM_213647.1	ENST00000292408
FH	NM_000143.3	ENST00000366560
FHIT		ENST00000492590
FLCN	NM_144997.5	ENST00000285071
FLI1	NM_002017.4	ENST00000527786
FLT1	NM_002019.4	ENST00000282397
FLT3	NM_004119.2	ENST00000241453
FLT4	NM_182925.4	ENST00000261937
FOLH1	NM_004476	ENST00000256999
FOLR1	NM_000802	ENST00000312293
