HugoSymbol	grch38RefSeq	grch38Isoform
NSD3	NM_023034.1	ENST00000317025
NT5C2	NM_001134373.2	ENST00000343289
NT5E	NM_002526.4	ENST00000257770
NTHL1	NM_002528.5	ENST00000219066
NTRK1	NM_002529.3	ENST00000524377
NTRK2	NM_006180.3	ENST00000277120
NTRK3		ENST00000629765
NUF2	NM_031423.3	ENST00000271452
NUP214	NM_005085	ENST00000359428
NUP93	NM_014669.4	ENST00000308159
NUP98	NM_139132.4	ENST00000355260
NUTM1	XM_011521429.1	ENST00000333756
OGA	NM_012215.5	ENST00000361464
OGT	NM_181672.3	ENST00000373719
ONECUT2	NM_004852	ENST00000491143
Other Biomarkers		
P2RY8	NM_178129.4	ENST00000381297
PAFAH1B2	NM_002572.4	ENST00000527958
PAK1	NM_002576.4	ENST00000356341
PAK3	NM_001128173	ENST00000262836
PAK5	NM_177990.2	ENST00000353224
PALB2	NM_024675.3	ENST00000261584
PARP1	NM_001618.3	ENST00000366794
PAX3	NM_181457	ENST00000350526
PAX5	NM_016734.2	ENST00000358127
PAX7	NM_001135254	ENST00000420770
PAX8		ENST00000429538
PBRM1	NM_018313.4	ENST00000394830
PCBP1	NM_006196.3	ENST00000303577
PDCD1	NM_005018.2	ENST00000334409
PDCD1LG2	NM_025239.3	ENST00000397747
PDGFB	NM_002608.2	ENST00000331163
PDGFRA	NM_006206.4	ENST00000257290
PDGFRB	NM_002609.3	ENST00000261799
PDK1	NM_002610	ENST00000282077
PDPK1	NM_002613.4	ENST00000342085
PDS5B	NM_015032.3	ENST00000315596
PGBD5		ENST00000391860
PGR	NM_000926.4	ENST00000325455
PHF19	NM_015651	ENST00000373896
PHF6	NM_001015877.1	ENST00000332070
PHLPP1	NM_194449	ENST00000262719
PHLPP2	NM_015020	ENST00000568954
PHOX2B	NM_003924.3	ENST00000226382
PICALM	NM_007166.4	ENST00000393346
PIGA	NM_002641.3	ENST00000333590
PIK3C2B	NM_002646	ENST00000367187
PIK3C2G	NM_004570.4	ENST00000433979
PIK3C3	NM_002647.2	ENST00000262039
PIK3CA	NM_006218.2	ENST00000263967
PIK3CB	NM_006219.2	ENST00000289153
PIK3CD	NM_005026.3	ENST00000377346
PIK3CG	NM_002649.2	ENST00000359195
PIK3R1	NM_181523.2	ENST00000521381
PIK3R2	NM_005027.3	ENST00000222254
PIK3R3	NM_003629.3	ENST00000262741
PIM1	NM_002648.3	ENST00000373509
PLCG1	NM_182811.1	ENST00000373271
PLCG2	NM_002661.3	ENST00000564138
PLK2	NM_006622.3	ENST00000274289
PMAIP1	NM_021127.2	ENST00000316660
PML	NM_033238	ENST00000268058
PMS1	NM_000534.4	ENST00000441310
PMS2	NM_000535.5	ENST00000265849
PNRC1	NM_006813.2	ENST00000336032
POLD1	NM_002691.3	ENST00000440232
POLE	NM_006231.2	ENST00000320574
POLG	NM_001126131	ENST00000268124
POLH	NM_006502.3	ENST00000372236
POT1	NM_015450.2	ENST00000357628
POU2F2	NM_001207025	ENST00000526816
POU3F2	NM_005604	ENST00000328345
POU3F4	NM_000307	ENST00000644024
PPARG	NM_015869.4	ENST00000287820
PPM1D	NM_003620.3	ENST00000305921
PPP2R1A	NM_014225.5	ENST00000322088
PPP2R2A	NM_002717.3	ENST00000380737
PPP4R2	NM_174907.2	ENST00000356692
PPP6C	NM_002721.4	ENST00000373547
PRCC	NM_005973	ENST00000271526
PRDM1	NM_001198.3	ENST00000369096
PRDM14	NM_024504.3	ENST00000276594
PREX2	NM_024870.2	ENST00000288368
PRKACA	NM_002730.3	ENST00000308677
PRKAR1A	NM_212471.2	ENST00000358598
PRKCB	NM_002738.7	ENST00000643927
PRKCI	NM_002740.5	ENST00000295797
PRKD1	NM_002742.2	ENST00000331968
PRKDC	NM_006904.7	ENST00000314191
PRKN	NM_004562.2	ENST00000366898
PRMT5	NM_006109.5	ENST00000324366
PRPF8	NM_006445	ENST00000304992
PRSS1	NM_002769.4	ENST00000311737
PSMB2	NM_002794	ENST00000373237
PTCH1	NM_000264.3	ENST00000331920
PTEN	NM_000314.4	ENST00000371953
PTK7	NM_002821.5	ENST00000230419
PTP4A1	NM_003463.4	ENST00000626021
PTPN1	NM_001278618.1	ENST00000371621
PTPN11	NM_002834.3	ENST00000351677
PTPN13	NM_080683	ENST00000411767
PTPN14	NM_005401	ENST00000366956
PTPN2	NM_002828.3	ENST00000309660
PTPRD	NM_002839.3	ENST00000356435
PTPRS	NM_002850.3	ENST00000587303
PTPRT	NM_133170.3	ENST00000373198
PUM1	NM_014676	ENST00000257075
QKI	NM_006775	ENST00000361752
RAB35	NM_006861.6	ENST00000229340
RAC1	NM_018890.3	ENST00000356142
RAC2	NM_002872.4	ENST00000249071
RAD17	NM_133339	ENST00000380774
RAD21	NM_006265.2	ENST00000297338
RAD50	NM_005732.3	ENST00000378823
RAD51	NM_002875.4	ENST00000267868
RAD51B	NM_133509.3	ENST00000487270
RAD51C	NM_058216.2	ENST00000337432
RAD51D	NM_002878.3	ENST00000345365
RAD52	NM_134424.2	ENST00000358495
RAD54L	NM_001142548.1	ENST00000371975
RAF1	NM_002880.3	ENST00000251849
RANBP2	NM_006267	ENST00000283195
RARA	NM_000964.3	ENST00000254066
RASA1	NM_002890.2	ENST00000274376
RB1	NM_000321.2	ENST00000267163
RBM10		ENST00000377604
RBM15	NM_022768.4	ENST00000369784
RECQL	NM_002907.3	ENST00000421138
RECQL4	NM_004260.4	ENST00000617875
REL	NM_002908.2	ENST00000295025
RELA	NM_021975.4	ENST00000406246
RELN	NM_005045.3	ENST00000428762
REST	NM_001193508.1	ENST00000309042
RET	NM_020975.4	ENST00000355710
REV3L	NM_002912	ENST00000358835
RHEB	NM_005614.3	ENST00000262187
RHOA	NM_001664.2	ENST00000418115
RICTOR	NM_152756.3	ENST00000357387
RIOK2	NM_018343.3	ENST00000283109
RIT1	NM_006912.5	ENST00000368323
RNASEH2A	NM_006397	ENST00000221486
RNASEH2B	NM_024570	ENST00000336617
RNF43	NM_017763.4	ENST00000407977
ROBO1	NM_002941.3	ENST00000464233
ROS1	NM_002944.2	ENST00000368508
RPL5	NM_000969	ENST00000370321
RPS15	NM_001018	ENST00000592588
RPS6KA4	NM_003942.2	ENST00000334205
RPS6KB1	NM_003161.4	ENST00000225577
RPS6KB2	NM_003952.2	ENST00000312629
RPTOR	NM_020761.2	ENST00000306801
RRAGC	NM_022157.3	ENST00000373001
RRAS	NM_006270.3	ENST00000246792
RRAS2	NM_012250.5	ENST00000256196
RSPO2	NM_178565.5	ENST00000276659
RSPO3	NM_032784.5	ENST00000356698
RTEL1	NM_001283009.2	ENST00000360203
RUNX1	NM_001754.4	ENST00000300305
RUNX1T1		ENST00000523629
RXRA	NM_002957.4	ENST00000481739
RYBP	NM_012234.5	ENST00000477973
SAMD9	NM_017654.4	ENST00000379958
SAMD9L	NM_152703.5	ENST00000318238
SAMHD1	NM_015474.3	ENST00000646673
SCG5	NM_001144757.1	ENST00000300175
SDHA	NM_004168.2	ENST00000264932
SDHAF2	NM_017841.2	ENST00000301761
SDHB	NM_003000.2	ENST00000375499
SDHC	NM_003001.3	ENST00000367975
SDHD	NM_003002.3	ENST00000375549
SERPINB3	NM_006919.2	ENST00000283752
SERPINB4	NM_002974.3	ENST00000341074
SESN1	NM_014454.2	ENST00000436639
SESN2	NM_031459.4	ENST00000253063
SESN3	NM_144665.3	ENST00000536441
SET	NM_001122821	ENST00000372692
SETBP1	NM_015559.2	ENST00000649279
SETD1A	NM_014712.2	ENST00000262519
SETD1B	XM_005253858.3	ENST00000604567
SETD2	NM_014159.6	ENST00000409792
SETD3	NM_032233.2	ENST00000331768
SETD4	NM_017438.4	ENST00000332131
SETD5	NM_001080517.2	ENST00000402198
SETD6	NM_001160305.1	ENST00000219315
SETD7	NM_001306199.1	ENST00000274031
SETDB1	NM_001145415.1	ENST00000271640
SETDB2	NM_031915.2	ENST00000317257
SF3B1	NM_012433.2	ENST00000335508
SF3B2	NM_006842	ENST00000322535
SFRP1	NM_003012.4	ENST00000220772
SFRP2	NM_003013.2	ENST00000274063
SGK1	NM_005627.3	ENST00000237305
SH2B3	NM_005475.2	ENST00000341259
SH2D1A	NM_002351.4	ENST00000371139
SHOC2	NM_007373.3	ENST00000369452
SHQ1	NM_018130.2	ENST00000325599
SLFN11	NM_001104587.1	ENST00000308377
SLIT2	NM_004787	ENST00000504154
SLIT3	NM_003062	ENST00000519560
SLX4	NM_032444.2	ENST00000294008
SMAD2	NM_001003652.3	ENST00000262160
SMAD3	NM_005902.3	ENST00000327367
SMAD4	NM_005359.5	ENST00000342988
SMARCA1	NM_003069	ENST00000371122
SMARCA2	NM_001289396.1	ENST00000349721
SMARCA4	NM_001128849.3	ENST00000646693
SMARCB1	NM_003073.5	ENST00000644036
SMARCD1	NM_003076.4	ENST00000394963
SMARCE1	NM_003079.4	ENST00000348513
SMC1A	NM_006306.3	ENST00000322213
SMC3	NM_005445.3	ENST00000361804
SMG1	NM_015092.4	ENST00000446231
SMO	NM_005631.4	ENST00000249373
SMYD3	NM_001167740.1	ENST00000490107
SOCS1	NM_003745.1	ENST00000332029
SOCS3	NM_003955.4	ENST00000330871
SOS1	NM_005633.3	ENST00000402219
SOX10	NM_006941	ENST00000360880
SOX17	NM_022454.3	ENST00000297316
SOX2	NM_003106.3	ENST00000325404
SOX9	NM_000346.3	ENST00000245479
SP140	NM_007237.4	ENST00000392045
SPEN	NM_015001.2	ENST00000375759
SPOP	NM_001007228.1	ENST00000347630
SPRED1	NM_152594.2	ENST00000299084
SPRTN	NM_032018.6	ENST00000295050
SQSTM1	NM_003900	ENST00000389805
SRC	NM_198291.2	ENST00000358208
SRP72	NM_006947	ENST00000642900
SRSF2	NM_003016.4	ENST00000359995
SS18	NM_001007559.2	ENST00000415083
SSX1	NM_005635.4	ENST00000376919
SSX2	NM_175698.4	ENST00000337502
STAG1	NM_005862.2	ENST00000383202
STAG2	NM_001042749.1	ENST00000218089
STAT1	NM_007315.3	ENST00000361099
STAT2	NM_005419.3	ENST00000314128
STAT3	NM_139276.2	ENST00000264657
STAT4	NM_001243835	ENST00000358470
STAT5A	NM_003152.3	ENST00000345506
STAT5B	NM_012448.3	ENST00000293328
STAT6	NM_001178078.1	ENST00000300134
STK11	NM_000455.4	ENST00000326873
STK19	NM_004197.1	ENST00000375331
STK40	NM_032017.1	ENST00000373129
SUFU	NM_016169.3	ENST00000369902
SUZ12	NM_015355.2	ENST00000322652
SYK	NM_003177.5	ENST00000375746
SZT2	NM_015284	ENST00000562955
TACSTD2	NM_002353.3	ENST00000371225
TAF1	NM_004606.5	ENST00000423759
TAL1	NM_001287347.2	ENST00000294339
TAP1	NM_000593.5	ENST00000354258
TAP2	NM_001290043.2	ENST00000374897
TBL1XR1	NM_024665.4	ENST00000430069
TBX3	NM_016569.3	ENST00000257566
TCF3	NM_001136139.2	ENST00000588136
TCF7L2	NM_001146274.1	ENST00000627217
TCL1A	NM_001098725.1	ENST00000402399
TCL1B	NM_004918.3	ENST00000340722
TEK	NM_000459.3	ENST00000380036
TENT5C	NM_017709.3	ENST00000369448
TERT	NM_198253.2	ENST00000310581
TET1	NM_030625.2	ENST00000373644
TET2	NM_001127208.2	ENST00000380013
TET3	NM_144993	ENST00000409262
TFE3	NM_006521.5	ENST00000315869
TGFBR1	NM_004612.2	ENST00000374994
TGFBR2	NM_003242.6	ENST00000295754
TIGAR	NM_020375	ENST00000179259
TLE1	NM_001303103.1	ENST00000376499
TLE2	NM_003260.4	ENST00000262953
TLE3	NM_005078.3	ENST00000558939
TLE4	NM_007005.4	ENST00000376552
TLX1	NM_005521.3	ENST00000370196
TLX3	NM_021025.2	ENST00000296921
TMEM127	NM_017849.4	ENST00000258439
TMPRSS2	NM_001135099.1	ENST00000398585
TNFAIP3	NM_006290.3	ENST00000237289
TNFRSF14	NM_003820.2	ENST00000355716
TNFRSF17	NM_001192	ENST00000053243
TNFRSF9	NM_001561.6	ENST00000377507
TNFSF13	NM_003808	ENST00000338784
TONSL	NM_013432	ENST00000409379
TOP1	NM_003286.2	ENST00000361337
TOP2A	NM_001067	ENST00000423485
TOX	NM_014729.3	ENST00000361421
TP53	NM_000546.5	ENST00000269305
TP53BP1	NM_001141980.1	ENST00000382044
TP63	NM_003722.4	ENST00000264731
TPM3	NM_152263.4	ENST00000368530
TPMT	NM_000367.5	ENST00000309983
TRA		
TRAF2	NM_021138.3	ENST00000247668
TRAF3	NM_003300.3	ENST00000392745
TRAF5	NM_001033910.2	ENST00000261464
TRAF7	NM_032271.2	ENST00000326181
TRB		
TRD		
TRG		
TRIB3	NM_001301188	ENST00000217233
TRIM27	NM_006510	ENST00000377199
TRIP13	NM_004237.3	ENST00000166345
TSC1	NM_000368.4	ENST00000298552
TSC2	NM_000548.3	ENST00000219476
TSHR	NM_000369.2	ENST00000541158
TYK2		ENST00000525621
TYMS	NM_001071.4	ENST00000323274
U2AF1	NM_006758.2	ENST00000291552
U2AF2	NM_007279.2	ENST00000308924
UBA1	NM_003334.4	ENST00000335972
UBE2A	NM_003336	ENST00000371558
UBR5	NM_015902.5	ENST00000520539
UBTF	NM_014233.4	ENST00000436088
UCHL1	NM_004181	ENST00000284440
UPF1	NM_002911.3	ENST00000262803
USP1	NM_003368.5	ENST00000339950
USP6	NM_004505	ENST00000250066
USP8	NM_001128610.2	ENST00000307179
VAV1	NM_005428.3	ENST00000602142
VAV2	NM_001134398.1	ENST00000371850
VEGFA	NM_001171623.1	ENST00000523873
VEGFB	NM_003377.5	ENST00000309422
VHL	NM_000551.3	ENST00000256474
VTCN1	NM_024626.3	ENST00000369458
WEE1	NM_003390.4	ENST00000450114
WIF1	NM_007191.4	ENST00000286574
WRN	NM_000553	ENST00000298139
WT1	NM_024426.4	ENST00000452863
WWOX	NM_016373.4	ENST00000566780
WWP1	NM_007013.3	ENST00000265428
WWTR1	NM_001168280.1	ENST00000360632
XBP1	NM_005080.3	ENST00000216037
XIAP	NM_001167.3	ENST00000355640
XPA	NM_000380	ENST00000375128
XPC	NM_004628	ENST00000285021
XPO1	NM_003400.3	ENST00000401558
XRCC1	NM_006297	ENST00000262887
XRCC2	NM_005431.1	ENST00000359321
XRCC3	NM_005432.4	ENST00000555055
YAP1	NM_001130145.2	ENST00000282441
YES1	NM_005433.3	ENST00000314574
YWHAE	NM_006761.5	ENST00000264335
YY1	NM_003403.4	ENST00000262238
ZBTB20	NM_001164342.2	ENST00000474710
ZBTB7A	NM_015898	ENST00000322357
ZFHX3	NM_006885.3	ENST00000268489
ZFP36L1	NM_001244698.1	ENST00000336440
ZFP36L2	NM_006887.4	ENST00000282388
ZMYM3	NM_005096	ENST00000314425
ZNF217	NM_006526	ENST00000302342
ZNF292	NM_015021.3	ENST00000369577
ZNF750	NM_024702.2	ENST00000269394
ZNRF3	NM_001206998.1	ENST00000544604
ZRSR2	NM_005089.3	ENST00000307771
